DX DESCRIPTION,CUI
Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity,C2888759
Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin,C2888761
Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed,C2888762
Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of muscle,C2888763
Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone,C2888764
Non-pressure chronic ulcer of unspecified part of right lower leg with muscle involvement without evidence of necrosis,C4509332
Non-pressure chronic ulcer of unspecified part of right lower leg with bone involvement without evidence of necrosis,C4509333
Non-pressure chronic ulcer of unspecified part of right lower leg with other specified severity,C4509334
Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity,C2888765
Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin,C2888767
Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed,C2888768
Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of muscle,C2888769
Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of bone,C2888770
Non-pressure chronic ulcer of unspecified part of left lower leg with muscle involvement without evidence of necrosis,C4509335
Non-pressure chronic ulcer of unspecified part of left lower leg with bone involvement without evidence of necrosis,C4509336
Non-pressure chronic ulcer of unspecified part of left lower leg with other specified severity,C4509337
Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity,C2888771
Non-pressure chronic ulcer of buttock limited to breakdown of skin,C2888774
Non-pressure chronic ulcer of buttock with fat layer exposed,C2888775
Non-pressure chronic ulcer of buttock with necrosis of muscle,C2888776
Non-pressure chronic ulcer of buttock with necrosis of bone,C2888777
Non-pressure chronic ulcer of buttock with muscle involvement without evidence of necrosis,C4509338
Non-pressure chronic ulcer of buttock with bone involvement without evidence of necrosis,C4509339
Non-pressure chronic ulcer of buttock with other specified severity,C4509340
Non-pressure chronic ulcer of buttock with unspecified severity,C2888778
Non-pressure chronic ulcer of back limited to breakdown of skin,C2888780
Non-pressure chronic ulcer of back with fat layer exposed,C2888781
Non-pressure chronic ulcer of back with necrosis of muscle,C2888782
Non-pressure chronic ulcer of back with necrosis of bone,C2888783
Non-pressure chronic ulcer of back with muscle involvement without evidence of necrosis,C4509341
Non-pressure chronic ulcer of back with bone involvement without evidence of necrosis,C4509342
Non-pressure chronic ulcer of back with other specified severity,C4509343
Non-pressure chronic ulcer of back with unspecified severity,C2888784
Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin,C2888787
Non-pressure chronic ulcer of skin of other sites with fat layer exposed,C2888788
Non-pressure chronic ulcer of skin of other sites with necrosis of muscle,C2888789
Non-pressure chronic ulcer of skin of other sites with necrosis of bone,C2888790
Non-pressure chronic ulcer of skin of other sites with muscle involvement without evidence of necrosis,C4509344
Non-pressure chronic ulcer of skin of other sites with bone involvement without evidence of necrosis,C4509345
Non-pressure chronic ulcer of skin of other sites with other specified severity,C4509346
Non-pressure chronic ulcer of skin of other sites with unspecified severity,C2888791
"Staphylococcal arthritis, unspecified joint",C2888793
"Staphylococcal arthritis, right shoulder",C2888795
"Staphylococcal arthritis, left shoulder",C2888796
"Staphylococcal arthritis, unspecified shoulder",C2888797
"Staphylococcal arthritis, right elbow",C2888799
"Staphylococcal arthritis, left elbow",C2888800
"Staphylococcal arthritis, unspecified elbow",C2888801
"Staphylococcal arthritis, right wrist",C2888804
"Staphylococcal arthritis, left wrist",C2888805
"Staphylococcal arthritis, unspecified wrist",C2888806
"Staphylococcal arthritis, right hand",C2888809
"Staphylococcal arthritis, left hand",C2888810
"Staphylococcal arthritis, unspecified hand",C2888811
"Staphylococcal arthritis, right hip",C2888813
"Staphylococcal arthritis, left hip",C2888814
"Staphylococcal arthritis, unspecified hip",C2888815
"Staphylococcal arthritis, right knee",C2888817
"Staphylococcal arthritis, left knee",C2888818
"Staphylococcal arthritis, unspecified knee",C2888819
"Staphylococcal arthritis, right ankle and foot",C2888822
"Staphylococcal arthritis, left ankle and foot",C2888823
"Staphylococcal arthritis, unspecified ankle and foot",C2888824
"Staphylococcal arthritis, vertebrae",C2888825
Staphylococcal polyarthritis,C2888826
"Pneumococcal arthritis, unspecified joint",C2888827
"Pneumococcal arthritis, right shoulder",C2888829
"Pneumococcal arthritis, left shoulder",C2888830
"Pneumococcal arthritis, unspecified shoulder",C2888831
"Pneumococcal arthritis, right elbow",C2888833
"Pneumococcal arthritis, left elbow",C2888834
"Pneumococcal arthritis, unspecified elbow",C2888835
"Pneumococcal arthritis, right wrist",C2888838
"Pneumococcal arthritis, left wrist",C2888839
"Pneumococcal arthritis, unspecified wrist",C2888840
"Pneumococcal arthritis, right hand",C2888842
"Pneumococcal arthritis, left hand",C2888843
"Pneumococcal arthritis, unspecified hand",C2888844
"Pneumococcal arthritis, right hip",C2888845
"Pneumococcal arthritis, left hip",C2888846
"Pneumococcal arthritis, unspecified hip",C2888847
"Pneumococcal arthritis, right knee",C2888849
"Pneumococcal arthritis, left knee",C2888850
"Pneumococcal arthritis, unspecified knee",C2888851
"Pneumococcal arthritis, right ankle and foot",C2888854
"Pneumococcal arthritis, left ankle and foot",C2888855
"Pneumococcal arthritis, unspecified ankle and foot",C2888856
"Pneumococcal arthritis, vertebrae",C2888857
Pneumococcal polyarthritis,C2888858
"Other streptococcal arthritis, unspecified joint",C2888859
"Other streptococcal arthritis, right shoulder",C2888861
"Other streptococcal arthritis, left shoulder",C2888862
"Other streptococcal arthritis, unspecified shoulder",C2888863
"Other streptococcal arthritis, right elbow",C2888865
"Other streptococcal arthritis, left elbow",C2888866
"Other streptococcal arthritis, unspecified elbow",C2888867
"Other streptococcal arthritis, right wrist",C2888870
"Other streptococcal arthritis, left wrist",C2888871
"Other streptococcal arthritis, unspecified wrist",C2888872
"Other streptococcal arthritis, right hand",C2888875
"Other streptococcal arthritis, left hand",C2888876
"Other streptococcal arthritis, unspecified hand",C2888877
"Other streptococcal arthritis, right hip",C2888879
"Other streptococcal arthritis, left hip",C2888880
"Other streptococcal arthritis, unspecified hip",C2888881
"Other streptococcal arthritis, right knee",C2888883
"Other streptococcal arthritis, left knee",C2888884
"Other streptococcal arthritis, unspecified knee",C2888885
"Other streptococcal arthritis, right ankle and foot",C2888888
"Other streptococcal arthritis, left ankle and foot",C2888889
"Other streptococcal arthritis, unspecified ankle and foot",C2888890
"Other streptococcal arthritis, vertebrae",C2888891
Other streptococcal polyarthritis,C2888892
"Arthritis due to other bacteria, unspecified joint",C2888894
"Arthritis due to other bacteria, right shoulder",C2888895
"Arthritis due to other bacteria, left shoulder",C2888896
"Arthritis due to other bacteria, unspecified shoulder",C2888897
"Arthritis due to other bacteria, right elbow",C2888899
"Arthritis due to other bacteria, left elbow",C2888900
"Arthritis due to other bacteria, unspecified elbow",C2888901
"Arthritis due to other bacteria, right wrist",C2888904
"Arthritis due to other bacteria, left wrist",C2888905
"Arthritis due to other bacteria, unspecified wrist",C2888906
"Arthritis due to other bacteria, right hand",C2888909
"Arthritis due to other bacteria, left hand",C2888910
"Arthritis due to other bacteria, unspecified hand",C2888911
"Arthritis due to other bacteria, right hip",C2888913
"Arthritis due to other bacteria, left hip",C2888914
"Arthritis due to other bacteria, unspecified hip",C2888915
"Arthritis due to other bacteria, right knee",C2888917
"Arthritis due to other bacteria, left knee",C2888918
"Arthritis due to other bacteria, unspecified knee",C2888919
"Arthritis due to other bacteria, right ankle and foot",C2888922
"Arthritis due to other bacteria, left ankle and foot",C2888923
"Arthritis due to other bacteria, unspecified ankle and foot",C2888924
"Arthritis due to other bacteria, vertebrae",C2888925
Polyarthritis due to other bacteria,C2888926
"Pyogenic arthritis, unspecified",C0003869
Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere,C2888927
Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere,C2888929
Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere,C2888930
Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere,C2888931
Direct infection of right elbow in infectious and parasitic diseases classified elsewhere,C2888933
Direct infection of left elbow in infectious and parasitic diseases classified elsewhere,C2888934
Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere,C2888935
Direct infection of right wrist in infectious and parasitic diseases classified elsewhere,C2888938
Direct infection of left wrist in infectious and parasitic diseases classified elsewhere,C2888939
Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere,C2888940
Direct infection of right hand in infectious and parasitic diseases classified elsewhere,C2888943
Direct infection of left hand in infectious and parasitic diseases classified elsewhere,C2888944
Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere,C2888945
Direct infection of right hip in infectious and parasitic diseases classified elsewhere,C2888947
Direct infection of left hip in infectious and parasitic diseases classified elsewhere,C2888948
Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere,C2888949
Direct infection of right knee in infectious and parasitic diseases classified elsewhere,C2888951
Direct infection of left knee in infectious and parasitic diseases classified elsewhere,C2888952
Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere,C2888953
Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere,C2888956
Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere,C2888957
Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere,C2888958
Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere,C2888959
Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere,C2888960
"Postdysenteric arthropathy, unspecified site",C0152085
"Postdysenteric arthropathy, right shoulder",C2888993
"Postdysenteric arthropathy, left shoulder",C2888994
"Postdysenteric arthropathy, unspecified shoulder",C2888995
"Postdysenteric arthropathy, right elbow",C2888997
"Postdysenteric arthropathy, left elbow",C2888998
"Postdysenteric arthropathy, unspecified elbow",C2888999
"Postdysenteric arthropathy, right wrist",C2889002
"Postdysenteric arthropathy, left wrist",C2889003
"Postdysenteric arthropathy, unspecified wrist",C2889004
"Postdysenteric arthropathy, right hand",C2889006
"Postdysenteric arthropathy, left hand",C2889007
"Postdysenteric arthropathy, unspecified hand",C2889008
"Postdysenteric arthropathy, right hip",C2889010
"Postdysenteric arthropathy, left hip",C2889011
"Postdysenteric arthropathy, unspecified hip",C2889012
"Postdysenteric arthropathy, right knee",C2889013
"Postdysenteric arthropathy, left knee",C2889014
"Postdysenteric arthropathy, unspecified knee",C2889015
"Postdysenteric arthropathy, right ankle and foot",C2889017
"Postdysenteric arthropathy, left ankle and foot",C2889018
"Postdysenteric arthropathy, unspecified ankle and foot",C2889019
"Postdysenteric arthropathy, vertebrae",C2889020
"Postdysenteric arthropathy, multiple sites",C0837418
"Reiter's disease, unspecified site",C0035012
"Reiter's disease, right shoulder",C2889050
"Reiter's disease, left shoulder",C2889051
"Reiter's disease, unspecified shoulder",C2889049
"Reiter's disease, right elbow",C2889053
"Reiter's disease, left elbow",C2889054
"Reiter's disease, unspecified elbow",C2889055
"Reiter's disease, right wrist",C2889058
"Reiter's disease, left wrist",C2889059
"Reiter's disease, unspecified wrist",C2889060
"Reiter's disease, right hand",C2889062
"Reiter's disease, left hand",C2889063
"Reiter's disease, unspecified hand",C2889064
"Reiter's disease, right hip",C2889066
"Reiter's disease, left hip",C2889067
"Reiter's disease, unspecified hip",C2889068
"Reiter's disease, right knee",C2889070
"Reiter's disease, left knee",C2889071
"Reiter's disease, unspecified knee",C2889072
"Reiter's disease, right ankle and foot",C2889074
"Reiter's disease, left ankle and foot",C2889075
"Reiter's disease, unspecified ankle and foot",C2889076
"Reiter's disease, vertebrae",C2889077
"Reiter's disease, multiple sites",C0837437
"Other reactive arthropathies, unspecified site",C0837456
"Other reactive arthropathies, right shoulder",C2889079
"Other reactive arthropathies, left shoulder",C2889080
"Other reactive arthropathies, unspecified shoulder",C2889078
"Other reactive arthropathies, right elbow",C2889082
"Other reactive arthropathies, left elbow",C2889083
"Other reactive arthropathies, unspecified elbow",C2889084
"Other reactive arthropathies, right wrist",C2889087
"Other reactive arthropathies, left wrist",C2889088
"Other reactive arthropathies, unspecified wrist",C2889089
"Other reactive arthropathies, right hand",C2889091
"Other reactive arthropathies, left hand",C2889092
"Other reactive arthropathies, unspecified hand",C2889093
"Other reactive arthropathies, right hip",C2889094
"Other reactive arthropathies, left hip",C2889095
"Other reactive arthropathies, unspecified hip",C2889096
"Other reactive arthropathies, right knee",C2889097
"Other reactive arthropathies, left knee",C2889098
"Other reactive arthropathies, unspecified knee",C2889099
"Other reactive arthropathies, right ankle and foot",C2889101
"Other reactive arthropathies, left ankle and foot",C2889102
"Other reactive arthropathies, unspecified ankle and foot",C2889103
"Other reactive arthropathies, vertebrae",C2889104
"Other reactive arthropathies, multiple sites",C0837447
"Reactive arthropathy, unspecified",C0409580
Periodic fever syndromes,C3889979
Cryopyrin-associated periodic syndromes,C2316212
Other autoinflammatory syndromes,C4268693
"Autoinflammatory syndrome, unspecified",C4268696
"Felty's syndrome, unspecified site",C0015773
"Felty's syndrome, right shoulder",C2889108
"Felty's syndrome, left shoulder",C2889109
"Felty's syndrome, unspecified shoulder",C2889110
"Felty's syndrome, right elbow",C2889112
"Felty's syndrome, left elbow",C2889113
"Felty's syndrome, unspecified elbow",C3469320
"Felty's syndrome, right wrist",C2889116
"Felty's syndrome, left wrist",C2889117
"Felty's syndrome, unspecified wrist",C2889118
"Felty's syndrome, right hand",C2889120
"Felty's syndrome, left hand",C2889121
"Felty's syndrome, unspecified hand",C0837511
"Felty's syndrome, right hip",C2889122
"Felty's syndrome, left hip",C2889123
"Felty's syndrome, unspecified hip",C3469322
"Felty's syndrome, right knee",C2889126
"Felty's syndrome, left knee",C2889127
"Felty's syndrome, unspecified knee",C3469323
"Felty's syndrome, right ankle and foot",C2889129
"Felty's syndrome, left ankle and foot",C2889130
"Felty's syndrome, unspecified ankle and foot",C2889131
"Felty's syndrome, multiple sites",C0837507
Rheumatoid lung disease with rheumatoid arthritis of unspecified site,C2889133
Rheumatoid lung disease with rheumatoid arthritis of right shoulder,C2889135
Rheumatoid lung disease with rheumatoid arthritis of left shoulder,C2889136
Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder,C2889137
Rheumatoid lung disease with rheumatoid arthritis of right elbow,C2889139
Rheumatoid lung disease with rheumatoid arthritis of left elbow,C2889140
Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow,C2889141
Rheumatoid lung disease with rheumatoid arthritis of right wrist,C2889144
Rheumatoid lung disease with rheumatoid arthritis of left wrist,C2889145
Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist,C2889146
Rheumatoid lung disease with rheumatoid arthritis of right hand,C2889149
Rheumatoid lung disease with rheumatoid arthritis of left hand,C2889150
Rheumatoid lung disease with rheumatoid arthritis of unspecified hand,C2889151
Rheumatoid lung disease with rheumatoid arthritis of right hip,C2889153
Rheumatoid lung disease with rheumatoid arthritis of left hip,C2889154
Rheumatoid lung disease with rheumatoid arthritis of unspecified hip,C2889152
Rheumatoid lung disease with rheumatoid arthritis of right knee,C2889156
Rheumatoid lung disease with rheumatoid arthritis of left knee,C2889157
Rheumatoid lung disease with rheumatoid arthritis of unspecified knee,C2889158
Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot,C2889161
Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot,C2889162
Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot,C2889163
Rheumatoid lung disease with rheumatoid arthritis of multiple sites,C2889164
Rheumatoid vasculitis with rheumatoid arthritis of unspecified site,C2889165
Rheumatoid vasculitis with rheumatoid arthritis of right shoulder,C2889166
Rheumatoid vasculitis with rheumatoid arthritis of left shoulder,C2889167
Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder,C2889168
Rheumatoid vasculitis with rheumatoid arthritis of right elbow,C2889170
Rheumatoid vasculitis with rheumatoid arthritis of left elbow,C2889171
Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow,C2889172
Rheumatoid vasculitis with rheumatoid arthritis of right wrist,C2889175
Rheumatoid vasculitis with rheumatoid arthritis of left wrist,C2889176
Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist,C2889177
Rheumatoid vasculitis with rheumatoid arthritis of right hand,C2889180
Rheumatoid vasculitis with rheumatoid arthritis of left hand,C2889181
Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand,C2889179
Rheumatoid vasculitis with rheumatoid arthritis of right hip,C2889183
Rheumatoid vasculitis with rheumatoid arthritis of left hip,C2889184
Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip,C2889185
Rheumatoid vasculitis with rheumatoid arthritis of right knee,C2889187
Rheumatoid vasculitis with rheumatoid arthritis of left knee,C2889188
Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee,C2889189
Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot,C2889192
Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot,C2889193
Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot,C2889194
Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,C2889195
Rheumatoid heart disease with rheumatoid arthritis of unspecified site,C2889198
Rheumatoid heart disease with rheumatoid arthritis of right shoulder,C2889200
Rheumatoid heart disease with rheumatoid arthritis of left shoulder,C2889201
Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder,C2889202
Rheumatoid heart disease with rheumatoid arthritis of right elbow,C2889204
Rheumatoid heart disease with rheumatoid arthritis of left elbow,C2889205
Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow,C2889206
Rheumatoid heart disease with rheumatoid arthritis of right wrist,C2889209
Rheumatoid heart disease with rheumatoid arthritis of left wrist,C2889210
Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist,C2889211
Rheumatoid heart disease with rheumatoid arthritis of right hand,C2889214
Rheumatoid heart disease with rheumatoid arthritis of left hand,C2889215
Rheumatoid heart disease with rheumatoid arthritis of unspecified hand,C2889216
Rheumatoid heart disease with rheumatoid arthritis of right hip,C2889218
Rheumatoid heart disease with rheumatoid arthritis of left hip,C2889219
Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,C2889217
Rheumatoid heart disease with rheumatoid arthritis of right knee,C2889221
Rheumatoid heart disease with rheumatoid arthritis of left knee,C2889222
Rheumatoid heart disease with rheumatoid arthritis of unspecified knee,C2889223
Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot,C2889226
Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot,C2889227
Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot,C2889228
Rheumatoid heart disease with rheumatoid arthritis of multiple sites,C2889229
Rheumatoid myopathy with rheumatoid arthritis of unspecified site,C2889231
Rheumatoid myopathy with rheumatoid arthritis of right shoulder,C2889233
Rheumatoid myopathy with rheumatoid arthritis of left shoulder,C2889234
Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,C2889235
Rheumatoid myopathy with rheumatoid arthritis of right elbow,C2889237
Rheumatoid myopathy with rheumatoid arthritis of left elbow,C2889238
Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,C2889239
Rheumatoid myopathy with rheumatoid arthritis of right wrist,C2889242
Rheumatoid myopathy with rheumatoid arthritis of left wrist,C2889243
Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,C2889244
Rheumatoid myopathy with rheumatoid arthritis of right hand,C2889247
Rheumatoid myopathy with rheumatoid arthritis of left hand,C2889248
Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,C2889246
Rheumatoid myopathy with rheumatoid arthritis of right hip,C2889250
Rheumatoid myopathy with rheumatoid arthritis of left hip,C2889251
Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,C2889252
Rheumatoid myopathy with rheumatoid arthritis of right knee,C2889254
Rheumatoid myopathy with rheumatoid arthritis of left knee,C2889255
Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,C2889256
Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,C2889259
Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,C2889260
Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,C2889261
Rheumatoid myopathy with rheumatoid arthritis of multiple sites,C2889262
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,C2889264
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,C2889264
Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,C2889266
Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,C2889266
Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,C2889267
Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,C2889267
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,C2889268
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,C2889268
Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,C2889269
Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,C2889269
Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,C2889270
Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,C2889270
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,C2889271
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,C2889271
Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,C2889274
Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,C2889274
Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,C2889275
Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,C2889275
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,C2889276
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,C2889276
Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,C2889279
Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,C2889279
Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,C2889280
Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,C2889280
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,C2889281
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,C2889281
Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,C2889283
Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,C2889283
Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,C2889284
Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,C2889284
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,C2889285
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,C2889285
Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,C2889287
Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,C2889287
Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,C2889288
Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,C2889288
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,C2889289
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,C2889289
Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,C2889292
Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,C2889292
Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,C2889293
Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,C2889293
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,C2889294
Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,C2889294
Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,C2889295
Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,C2889295
Rheumatoid arthritis of unspecified site with involvement of other organs and systems,C0837546
Rheumatoid arthritis of right shoulder with involvement of other organs and systems,C2889297
Rheumatoid arthritis of left shoulder with involvement of other organs and systems,C2889298
Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,C2889299
Rheumatoid arthritis of right elbow with involvement of other organs and systems,C2889301
Rheumatoid arthritis of left elbow with involvement of other organs and systems,C2889302
Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,C2889303
Rheumatoid arthritis of right wrist with involvement of other organs and systems,C2889306
Rheumatoid arthritis of left wrist with involvement of other organs and systems,C2889307
Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,C2889308
Rheumatoid arthritis of right hand with involvement of other organs and systems,C2889310
Rheumatoid arthritis of left hand with involvement of other organs and systems,C2889311
Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,C2889312
Rheumatoid arthritis of right hip with involvement of other organs and systems,C2889314
Rheumatoid arthritis of left hip with involvement of other organs and systems,C2889315
Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,C2889316
Rheumatoid arthritis of right knee with involvement of other organs and systems,C2889318
Rheumatoid arthritis of left knee with involvement of other organs and systems,C2889319
Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,C2889320
Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,C2889322
Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,C2889323
Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,C2889324
Rheumatoid arthritis of multiple sites with involvement of other organs and systems,C0837537
Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,C2889326
Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement,C2889328
Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement,C2889329
Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement,C2889330
Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement,C2889332
Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement,C2889333
Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement,C2889334
Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement,C2889336
Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement,C2889337
Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement,C2889338
Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement,C2889340
Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement,C2889341
Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement,C2889342
Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement,C2889344
Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement,C2889345
Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,C2889346
Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement,C2889348
Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement,C2889349
Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement,C2889350
Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,C2889352
Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,C2889353
Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,C2889354
Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,C2889355
Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement,C5384734
Other rheumatoid arthritis with rheumatoid factor of unspecified site,C2889356
Other rheumatoid arthritis with rheumatoid factor of right shoulder,C2889358
Other rheumatoid arthritis with rheumatoid factor of left shoulder,C2889359
Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,C2889360
Other rheumatoid arthritis with rheumatoid factor of right elbow,C2889362
Other rheumatoid arthritis with rheumatoid factor of left elbow,C2889363
Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,C2889364
Other rheumatoid arthritis with rheumatoid factor of right wrist,C2889366
Other rheumatoid arthritis with rheumatoid factor of left wrist,C2889367
Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,C2889368
Other rheumatoid arthritis with rheumatoid factor of right hand,C2889369
Other rheumatoid arthritis with rheumatoid factor of left hand,C2889370
